z_id,z_lat_d,z_long_d,z_land,z_water,z_pop,z_households,z_comm,z_med_inc,z_house_unit,z_comm_miles,z_comm_miles_ph,z_carb_ton_ph,z_pov,z_per_comm
56052,44.327421,-93.557905,47.936,2.073,699,354,174,66000,328,5607474.523499999,32088.552351931325,13.325746016430548,3.1,84.3
56340,45.759467,-94.429019,49.364,0.003,2288,885,572,59750,919,7210493.29,12605.7575,5.234923687032711,3.6,83.7
56762,48.168749,-96.73961,339.93,0.0,2494,1038,623,58409,1164,1.4335034377999999E7,22991.233966319163,9.547808236386842,6.2,80.5
59105,45.892816,-108.497574,103.973,0.991,29624,11575,7406,60552,11855,4.325532437100001E7,5840.5785000000005,2.4254776228738324,8.4,84.9
59436,47.612001,-112.04732,262.697,7.038,1827,715,456,51488,828,9374336.280000001,20523.998423645324,8.523213737894206,4.5,72.0
61532,40.339487,-89.818789,33.277,0.0,534,201,133,39732,246,2952772.692,22118.147505617977,9.185232564599392,10.4,90.3
61883,40.037393,-87.641523,21.289,0.0,4438,1731,1109,46473,2057,2.6297295444E7,23701.93370347003,9.842947888912999,9.7,89.7
62013,38.956413,-90.573646,24.718,5.563,552,229,138,44219,330,2479546.9485000004,17967.73151086957,7.461646258742892,6.4,77.2
62062,38.725931,-89.961315,6.421,0.091,7658,3223,1914,81076,3216,2.4941244549E7,13027.550038652389,5.410085850163729,3.9,86.4
62093,39.066361,-89.853922,0.636,0.026,435,158,108,27976,194,3183910.9435,29277.342009195403,12.158305534379421,16.9,84.0
62896,37.890492,-88.915973,64.401,1.357,12626,5092,3156,37446,5902,3.1265960213999994E7,9905.262225249484,4.113460999803373,12.2,83.2
64844,36.916226,-94.238563,65.232,0.19,4680,1730,1170,38208,1941,3.41267858755E7,29168.193055982905,12.112978116285987,13.2,81.9
65706,37.32282,-92.898635,179.665,0.422,14439,5469,3609,44063,6083,6.1689719699999996E7,17089.748514440056,7.097037151767701,10.4,83.1
66413,38.768874,-95.880727,100.533,0.266,1802,740,450,43519,894,8503524.206,18875.747405105438,7.838727438746358,7.1,76.3
