zid,z_id,z_pop,z_house_unit,z_land,z_water,z_lat_d,z_long_d,z_lat_r,z_long_r
z19955,19955,72,23,0.051,0.0,39.225855,-75.668556,0.6846203216598803,-1.3206654424297102
z19956,19956,15500,6419,101.076,1.01,38.547724,-75.538143,0.6727847029500387,-1.318389306192307
z19958,19958,19650,15089,49.062,9.691,38.729767,-75.167184,0.6759619526802467,-1.3119148502524014
z19960,19960,6295,2588,29.544,0.279,38.850913,-75.408716,0.6780763492558677,-1.3161303789013283
z19962,19962,10206,3821,14.514,0.007,39.068862,-75.488122,0.6818802769072969,-1.317516275047167
z19963,19963,19206,8507,106.647,8.163,38.943253,-75.362567,0.6796879862871592,-1.3153249269048253
z19964,19964,1340,514,9.499,0.048,39.089325,-75.7205,0.6822374236321325,-1.3215720362563663
z19966,19966,24601,16163,86.577,8.266,38.579422,-75.277196,0.6733379374163359,-1.3138349218691052
z19967,19967,354,268,1.439,0.0,38.53869,-75.122502,0.6726270299054136,-1.3111350022360253
z19968,19968,9549,4989,62.707,0.844,38.773918,-75.28688,0.6767325329982947,-1.3140039395538685
z19970,19970,6170,6934,9.688,3.361,38.559302,-75.097137,0.6729867771708345,-1.3106922994712569
z19971,19971,12385,15406,16.544,11.237,38.686005,-75.086681,0.675198161692989,-1.3105098078446684
z19973,19973,23838,9902,78.661,1.912,38.638896,-75.615899,0.6743759545356669,-1.3197464044054876
z19975,19975,8253,6664,27.22,1.762,38.468423,-75.165154,0.6714006393999146,-1.3118794200685857
z19977,19977,22984,8011,83.123,5.586,39.298946,-75.546122,0.6858960002634554,-1.3185285660133235
z19979,19979,632,256,2.021,0.0,39.048818,-75.572566,0.681530443112027,-1.3189901008807208
z20001,20001,38551,18751,2.179,0.062,38.910353,-77.017739,0.6791137729632531,-1.344213127991645
z20002,20002,52370,26166,5.257,0.224,38.905026,-76.983607,0.6790207992739994,-1.3436174122113544
z20003,20003,26454,13216,2.242,0.259,38.881904,-76.990935,0.6786172442443532,-1.3437453099389403
z20004,20004,1622,1543,0.348,0.0,38.894888,-77.028635,0.6788438577944322,-1.3444032990669421
z20005,20005,12775,9218,0.426,0.0,38.904674,-77.031578,0.6790146557150324,-1.3444546641068285
z20006,20006,3227,940,0.339,0.0,38.898613,-77.041468,0.678908871309069,-1.3446272771698506
z20007,20007,26866,13849,3.007,0.492,38.914337,-77.079313,0.6791833068806526,-1.3452877970252681
z20008,20008,27525,17244,3.037,0.013,38.936238,-77.059981,0.679565551440132,-1.3449503899742723
z20009,20009,47992,29093,1.315,0.01,38.919144,-77.037381,0.679267204857796,-1.3445559455633216
z20010,20010,30138,13861,1.084,0.006,38.933366,-77.030312,0.6795154255840146,-1.3444325682384983
z20011,20011,58536,25082,4.877,0.041,38.952514,-77.022991,0.6798496212291865,-1.3443047926839597
z20012,20012,13414,6058,2.262,0.026,38.976873,-77.032609,0.6802747659816798,-1.3444726584514164
z20015,20015,15332,6756,3.452,0.005,38.966889,-77.058323,0.6801005123091607,-1.3449214524152744
z20016,20016,32519,14842,4.44,0.152,38.937093,-77.091159,0.6795804740052365,-1.3454945487284593
z20017,20017,17735,7729,2.21,0.0,38.938188,-76.992126,0.6795995853605458,-1.3437660968103315
z20018,20018,16894,7652,3.016,0.012,38.926576,-76.974446,0.6793969177278042,-1.343457522598579
z20019,20019,54358,25109,6.17,0.311,38.891412,-76.943575,0.678783190149633,-1.342918722005196
z20020,20020,49864,22753,4.613,0.147,38.860413,-76.978933,0.6782421555348073,-1.343535835522116
z20024,20024,11510,7732,2.614,0.773,38.87601,-77.025323,0.6785143745382408,-1.3443454937621162
z20032,20032,35653,15681,5.253,0.076,38.833719,-77.006591,0.6777762573442799,-1.3440185586866327
z20036,20036,5435,4269,0.333,0.0,38.907017,-77.041569,0.6790555487794067,-1.344629039952395
z20037,20037,14642,8154,0.644,0.329,38.898918,-77.055446,0.6789141945632877,-1.3448712392926945
z20045,20045,0,0,0.011,0.0,38.896731,-77.030798,0.6788760242125464,-1.344441050538663
z20052,20052,470,6,0.003,0.0,38.900126,-77.046981,0.6789352781406517,-1.3447234971715132
z20053,20053,0,0,0.033,0.0,38.884108,-77.011231,0.6786557113010672,-1.3440995419639252
z20057,20057,3888,0,0.168,0.0,38.909123,-77.075774,0.6790923054134537,-1.3452260298230398
z20064,20064,1890,1,0.195,0.0,38.936353,-76.999168,0.6795675585687716,-1.3438890028962571
z20105,20105,11315,3855,37.13,0.374,38.953126,-77.602742,0.6798603026442086,-1.3544233564756896
z20106,20106,5142,2040,60.237,0.295,38.693414,-78.002506,0.675327473137269,-1.3614005545066319
z20109,20109,37265,13584,20.49,0.184,38.793641,-77.531024,0.6770767642866656,-1.3531716412427441
z20110,20110,43876,14714,12.627,0.068,38.747561,-77.484727,0.6762725165673464,-1.3523636061589484
z20111,20111,30590,10074,16.281,0.418,38.748968,-77.427873,0.6762970733499221,-1.3513713166660195
z20112,20112,25833,8448,39.099,0.533,38.661923,-77.432845,0.6747778515025237,-1.3514580944364285
z20115,20115,5838,2522,95.196,0.453,38.809947,-77.911841,0.6773613576744958,-1.3598181517403114
z20117,20117,2693,1469,44.739,0.499,38.998822,-77.733937,0.6806578482992,-1.3567131411878435
z20118,20118,7,3,0.01,0.0,38.968339,-77.737005,0.6801258195833145,-1.3567666878892943
z20119,20119,3946,1515,63.862,0.423,38.61038,-77.622006,0.6738782564461682,-1.3547595767027936
z20120,20120,40695,14217,17.174,0.27,38.856401,-77.476371,0.6781721329252172,-1.3522177664466517
