zid,mid,ddist
z22209,m4843,41.207473
z22209,m49594,64.417551
z22209,m94294,63.020709
z23030,m90892,64.46664
z23030,m74746,33.750398
z23030,m95411,21.580222
z23110,m90892,75.148011
z23110,m74746,52.610256
z23110,m95411,36.15324
z23110,m49594,121.600478
z23124,m90892,73.41687
z23124,m31600,75.929696
z23124,m74746,32.607075
z23124,m95411,34.4221
z23146,m15724,53.07442
z23146,m31600,56.129703
z23146,m74746,31.143124
z23176,m90892,64.840705
z23176,m74746,72.418327
z23176,m95411,55.961311
z23176,m49594,128.374667
z24715,m8002,86.401664
z24715,m6139,57.435203
z24880,m15481,89.588056
z24880,m6139,29.504568
z25244,m15481,38.762378
z25244,m40753,89.489879
z25244,m67672,51.00774
z27850,m75988,40.794883
z27910,m90892,69.603515
z27910,m75988,71.246421
z27910,m35380,62.979077
z28615,m43210,53.605693
z28615,m10351,44.974847
z28615,m45235,72.120069
z28615,m38647,71.624215
z28683,m8002,87.651863
z28683,m96670,56.422368
z28683,m38809,74.20974
z28683,m38647,80.910607
z28720,m83548,60.195334
z28720,m35461,59.423591
z28720,m3358,35.969936
z28720,m38647,68.485047
z28720,m55603,71.724255
z29334,m83548,12.410647
z29334,m35461,24.477675
z29334,m2413,47.626859
z29334,m3358,73.576563
z29334,m55603,20.359227
z30276,m19099,66.821015
z30276,m3817,47.503828
z30308,m76204,68.881482
z30308,m14185,45.169336
z30308,m32194,49.999254
z30308,m3817,5.99996
z30308,m3763,68.518601
z31503,m11026,63.212091
z31503,m89974,62.01968
z31545,m11026,42.721755
z31545,m39133,25.990093
z31545,m79768,61.899755
z33133,m56602,37.777504
z34476,m84024,66.915464
z34476,m32167,45.388059
z34476,m98182,64.76117
z34476,m39758,24.658494
z34476,m23311,70.111797
z34476,m65863,72.603496
z34476,m45937,21.828149
z34476,m48799,41.846864
z34476,m64567,10.409832
z34987,m80400,37.034344
z34987,m71479,17.830246
z35463,m89110,17.840188
z35463,m7786,72.466173
z36750,m89110,57.212753
z36750,m7786,63.45629
z36750,m58600,54.107761
z37122,m60733,37.574316
z37122,m9379,79.277644
z37122,m61273,15.52061
z37122,m17317,67.612021
z37153,m60733,12.117981
z37153,m61273,37.45377
z37917,m45640,11.935298
z37917,m59410,45.095393
z38114,m56116,4.374453
z38579,m60733,59.094264
z38579,m15832,78.683613
z39817,m24472,56.18749
z39817,m901,58.698451
z39817,m86464,44.375224
z40481,m49582,55.238656
z41301,m49582,71.348326
z43442,m87868,34.235067
z43442,m51364,64.529398
z43442,m54091,73.848723
z43442,m58357,50.234133
z45390,m49852,69.711634
z45390,m83980,67.861191
z45390,m56926,65.798238
z45390,m22528,55.914087
z45390,m60625,40.67123
z45390,m2386,67.805267
z45724,m67672,23.288992
z45724,m61705,85.191233
z46356,m56656,58.72517
z46356,m16264,59.238423
z46356,m43885,29.088871
z46502,m45694,69.49664
z46502,m56656,61.198227
